tag,length,average_distance,point
top1000000,6,2.6666666666666665,-50
top1000000,8,4.0,-50
top1000000,9,3.3333333333333335,-50
top1000000,5,1.6,-50
top1000000,4,1.5,-50
top1000000,7,3.4285714285714284,-50
top1000000,10,4.0,-50
top1000000,11,2.909090909090909,-50
top1000000,12,5.5,-50
top1000000,3,1.3333333333333333,-50
top1000000,15,6.4,-50
top1000000,13,5.076923076923077,-50
top1000000,16,6.5,-50
top1000000,18,6.777777777777778,-50
top1000000,14,4.571428571428571,-50
top1000000,17,5.882352941176471,-50
top1000000,20,5.8,-50
top1000000,19,6.2105263157894735,-50
top1000000,25,11.68,-50
top1000000,26,11.538461538461538,-50
top1000000,21,5.904761904761905,-50
top1000000,24,7.5,-50
top1000000,22,9.181818181818182,-50
top1000000,23,10.173913043478262,-50
top1000000,27,11.703703703703704,-50
top1000000,28,10.857142857142858,-50
top1000000,29,10.137931034482758,-50
top1000000,31,12.258064516129032,-50
top1000000,33,12.06060606060606,-50
top1000000,39,12.717948717948717,-50
top1000000,37,11.35135135135135,-50
top1000000,30,9.6,-50
top1000000,32,11.4375,-50
top1000000,36,11.722222222222221,-50
top1000000,35,10.914285714285715,-50
